destination_name,name,description,duration_minutes,estimated_cost,opening_time,closing_time,energy_level,indoor,weather_dependent,booking_required,rating,category,image_url
New York City,The Metropolitan Museum of Art,Explore over 5000 years of global art history in one of the world's largest museums.,180,25.0,09:30,17:00,MEDIUM,true,false,false,4.9,CULTURE,https://images.unsplash.com/photo-1541963463532-d68292c34b19
New York City,Central Park Guided Walk,A peaceful walk past Bethesda Fountain, Bow Bridge, and scenic green trails.,120,0.0,08:00,20:00,LOW,false,true,false,4.8,NATURE,https://images.unsplash.com/photo-1518235506717-e1ed3306a89b
New York City,Broadway Theater Show,Watch a world-famous musical performance live in the historic theater district.,150,120.0,19:00,22:30,LOW,true,false,true,4.9,CULTURE,https://images.unsplash.com/photo-1513151233558-d860c5398176
New York City,Times Square Sightseeing,A high-energy walk through the neon-lit heart of the theater district.,60,0.0,00:00,00:00,HIGH,false,false,false,4.5,SOCIAL,https://images.unsplash.com/photo-1534430480872-3498386e7856
New York City,Top of the Rock Observation Deck,Breathtaking 360-degree views of the Manhattan skyline from Rockefeller Center.,90,40.0,09:00,23:00,LOW,false,true,true,4.8,SOCIAL,https://images.unsplash.com/photo-1522083165195-3427ec0297b9
New York City,Chelsea Market Food Tour,Taste local favorites like gourmet tacos and artisanal brownies on a guided tour.,180,75.0,11:30,14:30,MEDIUM,true,false,true,4.7,FOOD,https://images.unsplash.com/photo-1555396273-367ea4eb4db5
Paris,The Louvre Museum,Marvel at the Mona Lisa and Venus de Milo in this historic palace art museum.,180,22.0,09:00,18:00,MEDIUM,true,false,true,4.9,CULTURE,https://images.unsplash.com/photo-1502602898657-3e91760cbb34
Paris,Eiffel Tower Summit Climb,Experience panoramic views of Paris from the top of the iconic iron tower.,120,30.0,09:00,23:00,HIGH,false,true,true,4.8,ADVENTURE,https://images.unsplash.com/photo-1431274172761-fca41d930114
Paris,Seine River Romantic Cruise,Glide past Notre-Dame and historic bridges at sunset with music playing.,60,20.0,17:00,22:00,LOW,false,true,false,4.7,ROMANTIC,https://images.unsplash.com/photo-1549144511-f099e773c147
Paris,French Pastry Baking Class,Learn to bake authentic croissants and macarons from a local Parisian chef.,180,85.0,14:00,17:00,MEDIUM,true,false,true,4.8,FOOD,https://images.unsplash.com/photo-1509440159596-0249088772ff
Paris,Montmartre Artists Walk,Walk up winding cobblestone streets to Sacre-Coeur and watch artists paint.,120,0.0,09:00,18:00,MEDIUM,false,true,false,4.6,CULTURE,https://images.unsplash.com/photo-1502602898657-3e91760cbb34
Tokyo,Shibuya Crossing & Hachiko Statue,Walk the world's busiest pedestrian intersection and see historical statues.,45,0.0,00:00,00:00,HIGH,false,false,false,4.7,SOCIAL,https://images.unsplash.com/photo-1490806869553-ee70f2f3f9f4
Tokyo,Senso-ji Ancient Temple,Visit Tokyo's oldest and most historic Buddhist temple in Asakusa.,90,0.0,06:00,17:00,LOW,false,false,false,4.8,CULTURE,https://images.unsplash.com/photo-1503899036084-c55cdd92da26
Tokyo,Sushi Masterclass & Tasting,Learn proper sushi rolling and enjoy a high-quality fresh chef lunch.,150,90.0,11:00,13:30,MEDIUM,true,false,true,4.9,FOOD,https://images.unsplash.com/photo-1579871494447-9811cf80d66c
Tokyo,Shinjuku Gyoen National Garden,A serene garden sanctuary featuring cherry blossoms and traditional tea houses.,120,5.0,09:00,16:30,LOW,false,true,false,4.8,NATURE,https://images.unsplash.com/photo-1503899036084-c55cdd92da26
Tokyo,Akihabara Gaming & Tech Tour,Explore multi-level retro game arcades and electronics shops.,180,10.0,11:00,21:00,HIGH,true,false,false,4.6,SOCIAL,https://images.unsplash.com/photo-1540959733332-eab4deceeaf7
Miami,South Beach Cabana Relaxation,Soak up the sun on sandy beaches with direct ocean views and music.,240,40.0,09:00,18:00,LOW,false,true,false,4.8,RELAXED,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Miami,Everglades Airboat Safari,Thrill ride past local marshes and spot alligators in the wild.,120,45.0,09:00,17:00,HIGH,false,true,true,4.7,ADVENTURE,https://images.unsplash.com/photo-1533105079780-92b9be482077
Miami,Little Havana Culinary Walk,Enjoy Cuban coffee, fresh empanadas, and learn local history.,180,65.0,11:00,14:00,MEDIUM,false,false,true,4.8,FOOD,https://images.unsplash.com/photo-1533105079780-92b9be482077
Miami,Yacht Party & Sunset Cruise,A festive boat ride with drinks and DJs along the Biscayne Bay.,150,75.0,17:00,19:30,HIGH,false,true,true,4.6,SOCIAL,https://images.unsplash.com/photo-1533105079780-92b9be482077
Grand Canyon,Bright Angel Hiking Trail,Descend into the canyon on a beautiful and challenging nature trail.,240,0.0,06:00,18:00,HIGH,false,true,false,4.9,ADVENTURE,https://images.unsplash.com/photo-1615551043360-33de8b5f410c
Grand Canyon,Grand Canyon Helicopter Tour,Fly high over the Kaibab National Forest and the deep canyon rim.,45,299.0,08:00,16:00,HIGH,false,true,true,4.9,ADVENTURE,https://images.unsplash.com/photo-1615551043360-33de8b5f410c
Grand Canyon,Mather Point Sunset View,A peaceful gather to watch the shifting canyon colors during sunset.,60,0.0,17:30,18:30,LOW,false,true,false,4.9,ROMANTIC,https://images.unsplash.com/photo-1615551043360-33de8b5f410c
Grand Canyon,Rim Trail Guided Walk,An easy flat path along the edge of the canyon, suitable for all ages.,120,0.0,08:00,19:00,LOW,false,true,false,4.8,NATURE,https://images.unsplash.com/photo-1615551043360-33de8b5f410c
